antibiogram,term,estimate,conf10,conf90,conf2-5,conf97-5,p-value,ab_name,flq,cph03,b_lac,flag,term_ab,term_ab_name,estimate_interp,conf10_interp,conf90_interp,conf2-5_interp,conf97-5_interp
AB_2,AB_1_importation_rate,0.999373661,0.999054159,0.999693265,0.998885065,0.999862497,0.0120,R-S-R,1,0,1,0,AB_1,S-S-S,-0.6,-0.9,-0.3,-1.1,-0.1
AB_2,AB_2_importation_rate,1.001765164,1.001314497,1.002216034,1.001076008,1.002454795,5.0903730009085e-07,R-S-R,1,0,1,1,AB_2,R-S-R,1.8,1.3,2.2,1.1,2.5
AB_2,AB_3_importation_rate,1.001409173,1.000936159,1.001882411,1.000685848,1.002133021,0.0001,R-S-R,1,0,1,0,AB_3,S-S-R,1.4,0.9,1.9,0.7,2.2
AB_2,AB_4_importation_rate,0.998074195,0.99764275,0.998505827,0.997414429,0.998734397,1.10592625904261e-08,R-S-R,1,0,1,0,AB_4,R-S-S,-1.9,-2.3,-1.5,-2.6,-1.3
AB_2,AB_5_importation_rate,1.00017986,0.999628222,1.000731803,0.999336323,1.00102411,0.6761,R-S-R,1,0,1,0,AB_5,R-R-R,0.2,-0.4,0.7,-0.7,1
AB_2,AB_6_importation_rate,1.001590302,1.00029508,1.002887202,0.999610102,1.003574426,0.1155,R-S-R,1,0,1,0,AB_6,S-R-R,1.6,0.3,2.9,-0.4,3.6
AB_2,AB_7_importation_rate,0.996737814,0.995442597,0.998034717,0.994757625,0.998721946,0.0013,R-S-R,1,0,1,0,AB_7,R-R-S,-3.2,-4.5,-1.9,-5.1,-1.3
AB_2,AB_8_importation_rate,1.000661173,0.997536407,1.003795727,0.995886191,1.00545905,0.7865,R-S-R,1,0,1,NA,AB_8,NA,0.7,-2.4,3.9,-4,5.6
AB_3,AB_1_importation_rate,0.999550702,0.999237111,0.999864391,0.999071145,1.00003049,0.0664,S-S-R,0,0,1,0,AB_1,S-S-S,-0.4,-0.8,-0.1,-0.9,0
AB_3,AB_2_importation_rate,1.001473216,1.001015647,1.001930993,1.000773508,1.002173413,3.65492174725745e-05,S-S-R,0,0,1,0,AB_2,R-S-R,1.5,1,1.9,0.8,2.2
AB_3,AB_3_importation_rate,1.001589536,1.001128836,1.002050448,1.000885039,1.002294528,9.6799502177934e-06,S-S-R,0,0,1,1,AB_3,S-S-R,1.6,1.1,2.1,0.9,2.3
AB_3,AB_4_importation_rate,0.998148107,0.997707698,0.998588711,0.997474635,0.998822033,7.33828155658823e-08,S-S-R,0,0,1,0,AB_4,R-S-S,-1.8,-2.3,-1.4,-2.5,-1.2
AB_3,AB_5_importation_rate,1.000837069,1.000307086,1.001367333,1.000026641,1.001648154,0.0429,S-S-R,0,0,1,0,AB_5,R-R-R,0.8,0.3,1.4,0,1.7
AB_3,AB_6_importation_rate,0.998960387,0.997662389,1.000260074,0.996975945,1.000948778,0.3052,S-S-R,0,0,1,0,AB_6,S-R-R,-1,-2.3,0.3,-3,1
AB_3,AB_7_importation_rate,0.996666659,0.995418805,0.997916078,0.994758856,0.998578121,0.0006,S-S-R,0,0,1,0,AB_7,R-R-S,-3.3,-4.5,-2.1,-5.1,-1.4
AB_3,AB_8_importation_rate,0.996298927,0.992888599,0.999720969,0.99108799,1.001537263,0.1658,S-S-R,0,0,1,NA,AB_8,NA,-3.6,-6.9,-0.3,-8.6,1.5
AB_4,AB_1_importation_rate,1.000785135,1.000451363,1.001119019,1.000274718,1.001295813,0.0026,R-S-S,1,0,0,0,AB_1,S-S-S,0.8,0.5,1.1,0.3,1.3
AB_4,AB_2_importation_rate,1.00023729,0.999704128,1.000770737,0.999422001,1.001053245,0.5685,R-S-S,1,0,0,0,AB_2,R-S-R,0.2,-0.3,0.8,-0.6,1.1
AB_4,AB_3_importation_rate,0.999464507,0.99889847,1.000030865,0.998598954,1.00033081,0.2256,R-S-S,1,0,0,0,AB_3,S-S-R,-0.5,-1.1,0,-1.4,0.3
AB_4,AB_4_importation_rate,1.002219165,1.001838824,1.00259965,1.001637539,1.002801127,7.19107681834201e-14,R-S-S,1,0,0,1,AB_4,R-S-S,2.2,1.9,2.6,1.6,2.8
AB_4,AB_5_importation_rate,0.999727961,0.999130182,1.000326097,0.998813879,1.000642879,0.5599,R-S-S,1,0,0,0,AB_5,R-R-R,-0.3,-0.9,0.3,-1.2,0.6
AB_4,AB_6_importation_rate,1.001848044,1.000512105,1.003185767,0.999805615,1.003894645,0.0762,R-S-S,1,0,0,0,AB_6,S-R-R,1.9,0.5,3.2,-0.2,4
AB_4,AB_7_importation_rate,1.001343383,1.000407814,1.002279828,0.999912901,1.002775912,0.0657,R-S-S,1,0,0,0,AB_7,R-R-S,1.4,0.4,2.3,-0.1,2.8
AB_4,AB_8_importation_rate,1.00181296,0.999294594,1.004337672,0.997964001,1.005676763,0.3564,R-S-S,1,0,0,NA,AB_8,NA,1.8,-0.7,4.4,-2,5.8
AB_5,AB_1_importation_rate,0.999834447,0.999478909,1.000190111,0.999290747,1.000378442,0.5508,R-R-R,1,1,1,0,AB_1,S-S-S,-0.2,-0.5,0.2,-0.7,0.4
AB_5,AB_2_importation_rate,1.000924942,1.000399228,1.001450932,1.00012104,1.001729489,0.0241,R-R-R,1,1,1,0,AB_2,R-S-R,0.9,0.4,1.5,0.1,1.7
AB_5,AB_3_importation_rate,1.000805525,1.000268793,1.001342546,0.999984777,1.001626947,0.0544,R-R-R,1,1,1,0,AB_3,S-S-R,0.8,0.3,1.4,0,1.6
AB_5,AB_4_importation_rate,0.999040902,0.998561387,0.999520647,0.998307638,0.999774705,0.0104,R-R-R,1,1,1,0,AB_4,R-S-S,-1,-1.4,-0.5,-1.7,-0.2
AB_5,AB_5_importation_rate,1.002119611,1.001575679,1.002663838,1.001287855,1.002952057,5.79449756541633e-07,R-R-R,1,1,1,1,AB_5,R-R-R,2.1,1.6,2.7,1.3,3
AB_5,AB_6_importation_rate,1.001309196,1.000031698,1.002588327,0.999356084,1.003266126,0.1891,R-R-R,1,1,1,0,AB_6,S-R-R,1.3,0,2.6,-0.6,3.3
AB_5,AB_7_importation_rate,0.995690098,0.994342181,0.997039841,0.993629369,0.9977551,4.38664665985822e-05,R-R-R,1,1,1,0,AB_7,R-R-S,-4.2,-5.5,-2.9,-6.2,-2.2
AB_5,AB_8_importation_rate,0.994046359,0.989943897,0.998165822,0.98777902,1.000353463,0.0642,R-R-R,1,1,1,NA,AB_8,NA,-5.8,-9.6,-1.8,-11.6,0.4
AB_6,AB_1_importation_rate,1.000237439,0.999550268,1.000925083,0.999186689,1.001289295,0.6580,S-R-R,0,1,1,0,AB_1,S-S-S,0.2,-0.4,0.9,-0.8,1.3
AB_6,AB_2_importation_rate,1.0015943,1.000534253,1.00265547,0.999973547,1.00321768,0.0539,S-R-R,0,1,1,0,AB_2,R-S-R,1.6,0.5,2.7,0,3.3
AB_6,AB_3_importation_rate,1.000239695,0.999170362,1.001310171,0.998604749,1.001877317,0.7740,S-R-R,0,1,1,0,AB_3,S-S-R,0.2,-0.8,1.3,-1.4,1.9
AB_6,AB_4_importation_rate,0.999389256,0.998450919,1.000328476,0.997954544,1.000826031,0.4046,S-R-R,0,1,1,0,AB_4,R-S-S,-0.6,-1.5,0.3,-2,0.8
AB_6,AB_5_importation_rate,1.001702204,1.00061793,1.002787652,1.00004442,1.003362736,0.0442,S-R-R,0,1,1,0,AB_5,R-R-R,1.7,0.6,2.8,0,3.4
AB_6,AB_6_importation_rate,1.007544393,1.005766904,1.009325024,1.004827218,1.010268916,4.89441087874482e-08,S-R-R,0,1,1,1,AB_6,S-R-R,7.8,5.9,9.7,4.9,10.8
AB_6,AB_7_importation_rate,0.996842725,0.994256133,0.999436046,0.992889577,1.000811612,0.1188,S-R-R,0,1,1,0,AB_7,R-R-S,-3.1,-5.6,-0.6,-6.9,0.8
AB_6,AB_8_importation_rate,0.998930797,0.991837254,1.006075073,0.988102533,1.009877725,0.8474,S-R-R,0,1,1,NA,AB_8,NA,-1.1,-7.9,6.2,-11.3,10.3
AB_7,AB_1_importation_rate,1.000517089,0.999698698,1.001336151,0.999265734,1.001770012,0.4182,R-R-S,1,1,0,0,AB_1,S-S-S,0.5,-0.3,1.3,-0.7,1.8
AB_7,AB_2_importation_rate,0.998002163,0.996478019,0.999528638,0.995672119,1.000337659,0.0936,R-R-S,1,1,0,0,AB_2,R-S-R,-2,-3.5,-0.5,-4.2,0.3
AB_7,AB_3_importation_rate,1.000137583,0.998778181,1.001498835,0.998059297,1.002220196,0.8969,R-R-S,1,1,0,0,AB_3,S-S-R,0.1,-1.2,1.5,-1.9,2.2
AB_7,AB_4_importation_rate,1.001662259,1.000687231,1.002638236,1.000171462,1.003155277,0.0288,R-R-S,1,1,0,0,AB_4,R-S-S,1.7,0.7,2.7,0.2,3.2
AB_7,AB_5_importation_rate,0.994805672,0.99319129,0.996422679,0.992337739,0.997279743,3.9671352273818e-05,R-R-S,1,1,0,0,AB_5,R-R-R,-5.1,-6.6,-3.5,-7.4,-2.7
AB_7,AB_6_importation_rate,1.000102273,0.996801607,1.003413868,0.995058734,1.005171376,0.9684,R-R-S,1,1,0,0,AB_6,S-R-R,0.1,-3.2,3.5,-4.8,5.3
AB_7,AB_7_importation_rate,1.007077653,1.005565137,1.008592445,1.00476537,1.009395258,1.81497028097924e-09,R-R-S,1,1,0,1,AB_7,R-R-S,7.3,5.7,8.9,4.9,9.8
AB_7,AB_8_importation_rate,0.998093372,0.992855297,1.003359082,0.990093535,1.006157847,0.6421,R-R-S,1,1,0,NA,AB_8,NA,-1.9,-6.9,3.4,-9.5,6.3