antibiogram,term,estimate,conf10,conf90,conf2-5,conf97-5,p-value,ab_name,flq,cph03,b_lac,flag,estimate_interp,conf10_interp,conf90_interp,conf2-5_interp,conf97-5_interp
AB_2,FQL,1.000473595,0.999109467,1.001839584,0.998388082,1.002563463,0.6565,S-S-R,0,0,1,0,0.5,-0.9,1.9,-1.6,2.6
AB_3,FQL,1.00229853,1.001059503,1.003539091,1.000404211,1.004196437,0.0174,R-R-R,1,1,1,1,2.3,1.1,3.6,0.4,4.3
AB_4,FQL,0.99887307,0.997070637,1.000678761,0.996117787,1.001635974,0.4237,S-R-R,0,1,1,0,-1.1,-2.9,0.7,-3.8,1.6
AB_5,FQL,1.006126326,1.003283563,1.008977144,1.001781921,1.010489571,0.0057,R-S-R,1,0,1,1,6.3,3.3,9.3,1.8,11
AB_2,3GC,1.000403037,0.998699294,1.002109686,0.997798546,1.003014326,0.7619,S-S-R,0,0,1,0,0.4,-1.3,2.1,-2.2,3.1
AB_3,3GC,1.000446894,0.998849743,1.0020466,0.998005279,1.002894483,0.7201,R-R-R,1,1,1,1,0.4,-1.1,2.1,-2,2.9
AB_4,3GC,1.002936452,1.000934793,1.004942114,0.999876778,1.006005489,0.0600,S-R-R,0,1,1,1,3,0.9,5.1,-0.1,6.2
AB_5,3GC,0.99220053,0.987528336,0.996894828,0.985063895,0.999388868,0.0335,R-S-R,1,0,1,0,-7.5,-11.8,-3.1,-14,-0.6
AB_2,BL/BLI,1.002475455,1.00143527,1.00351672,1.000885057,1.00406838,0.0023,S-S-R,0,0,1,1,2.5,1.4,3.6,0.9,4.1
AB_3,BL/BLI,0.998901052,0.997986186,0.999816757,0.997502216,1.00030185,0.1241,R-R-R,1,1,1,1,-1.1,-2,-0.2,-2.5,0.3
AB_4,BL/BLI,1.002152336,1.00086092,1.003445418,1.000177947,1.004130622,0.0326,S-R-R,0,1,1,1,2.2,0.9,3.5,0.2,4.2
AB_5,BL/BLI,1.002425706,0.999943469,1.004914105,0.998631918,1.006233907,0.2104,R-S-R,1,0,1,1,2.5,-0.1,5,-1.4,6.4